node_seq	node_type	partition	call	depth	executions	calls_per_exec	host_us	device_us	region_us
4	CudfFilter	0	make_numeric_column	2	10	10.0	58	62	58794
4	CudfFilter	0	make_strings_column	2	10	2.0	1	0	58794
4	CudfFilter	0	mutable_view	2	10	12.0	2	0	58794
4	CudfFilter	0	allocate_like	3	10	4.0	9	0	58794
4	CudfFilter	0	mutable_view	3	10	2.0	0	0	58794
5	CudfCoalescePartitions	0	(unattributed)	0	10	1.0	3	0	23
5	CudfCoalescePartitions	0	concatenate	0	10	1.0	20	5	23
5	CudfCoalescePartitions	0	allocate_like	1	10	1.0	2	0	23
5	CudfCoalescePartitions	0	mutable_view	1	10	1.0	0	0	23
5	CudfHashJoin	0	(unattributed)	0	10	1.0	1007	134	5864
5	CudfHashJoin	0	apply_boolean_mask	0	10	1.0	307	60	5864
5	CudfHashJoin	0	binary_operation	0	10	44.0	2976	551	5864
5	CudfHashJoin	0	compute_column	0	10	3.0	135	19	5864
5	CudfHashJoin	0	copy_bitmask	0	10	48.0	112	16	5864
5	CudfHashJoin	0	gather	0	10	2.0	285	65	5864
5	CudfHashJoin	0	inner_join	0	10	1.0	1035	826	5864
5	CudfHashJoin	0	make_strings_column	0	10	17.0	3	0	5864
5	CudfHashJoin	0	allocate_like	1	10	6.0	14	0	5864
5	CudfHashJoin	0	copy_bitmask	1	10	18.0	111	24	5864
5	CudfHashJoin	0	copy_if	1	10	1.0	307	60	5864
5	CudfHashJoin	0	hash_join	1	10	1.0	27	14	5864
5	CudfHashJoin	0	inner_join	1	10	1.0	864	810	5864
5	CudfHashJoin	0	make_fixed_width_column	1	10	26.0	98	20	5864
5	CudfHashJoin	0	make_numeric_column	1	10	17.0	35	0	5864
5	CudfHashJoin	0	make_strings_column	1	10	2.0	0	0	5864
5	CudfHashJoin	0	mutable_view	1	10	74.0	9	0	5864
5	CudfHashJoin	0	allocate_like	2	10	12.0	28	0	5864
5	CudfHashJoin	0	bitmask_and	2	10	1.0	1	0	5864
5	CudfHashJoin	0	copy_bitmask	2	10	6.0	33	8	5864
5	CudfHashJoin	0	make_numeric_column	2	10	28.0	95	20	5864
5	CudfHashJoin	0	make_strings_column	2	10	2.0	0	0	5864
5	CudfHashJoin	0	mutable_view	2	10	16.0	3	0	5864
5	CudfHashJoin	0	allocate_like	3	10	6.0	13	0	5864
5	CudfHashJoin	0	mutable_view	3	10	2.0	0	0	5864
5	CudfProject	0	(unattributed)	0	10	1.0	12	1	12
5	CudfProject	0	copy_bitmask	0	10	1.0	1	0	12
6	CudfAggregate	0	(unattributed)	0	20	1.0	90	10	421
6	CudfAggregate	0	aggregate	0	20	1.0	236	50	421
6	CudfAggregate	0	binary_operation	0	20	1.0	79	18	421
6	CudfAggregate	0	copy_bitmask	0	20	1.0	7	1	421
6	CudfAggregate	0	make_fixed_width_column	0	20	1.0	2	0	421
6	CudfAggregate	0	mutable_view	0	20	1.0	0	0	421
6	CudfAggregate	0	allocate_like	1	20	2.0	5	0	421
6	CudfAggregate	0	bitmask_and	1	20	0.5	14	2	421
6	CudfAggregate	0	copy_bitmask	1	20	2.5	10	2	421
6	CudfAggregate	0	make_fixed_width_column	1	20	1.0	2	0	421
6	CudfAggregate	0	make_numeric_column	1	20	2.0	4	0	421
6	CudfAggregate	0	mutable_view	1	20	6.5	1	0	421
6	CudfAggregate	0	allocate_like	2	20	2.0	4	0	421
6	CudfAggregate	0	copy_bitmask	2	20	0.5	3	1	421
6	CudfAggregate	0	make_fixed_point_column	2	20	1.0	2	0	421
6	CudfProject	0	(unattributed)	0	10	1.0	10	1	11
6	CudfProject	0	copy_bitmask	0	10	1.0	1	0	11
7	CudfCoalescePartitions	0	(unattributed)	0	10	1.0	4	0	14
7	CudfCoalescePartitions	0	concatenate	0	10	1.0	10	1	14
7	CudfCoalescePartitions	0	allocate_like	1	10	1.0	2	0	14
7	CudfCoalescePartitions	0	mutable_view	1	10	1.0	0	0	14
7	CudfProject	0	(unattributed)	0	10	1.0	12	1	13
7	CudfProject	0	copy_bitmask	0	10	1.0	1	0	13
8	CudfAggregate	0	(unattributed)	0	10	1.0	70	7	274
8	CudfAggregate	0	aggregate	0	10	1.0	200	46	274
8	CudfAggregate	0	make_fixed_width_column	0	10	1.0	2	0	274
8	CudfAggregate	0	mutable_view	0	10	1.0	0	0	274
8	CudfAggregate	0	allocate_like	1	10	2.0	5	0	274
8	CudfAggregate	0	copy_bitmask	1	10	1.0	1	0	274
8	CudfAggregate	0	make_fixed_width_column	1	10	1.0	2	0	274
8	CudfAggregate	0	make_numeric_column	1	10	2.0	4	0	274
8	CudfAggregate	0	mutable_view	1	10	5.0	1	0	274
8	CudfAggregate	0	allocate_like	2	10	2.0	4	0	274
8	CudfAggregate	0	make_fixed_point_column	2	10	1.0	2	0	274
8	CudfProject	0	(unattributed)	0	10	1.0	10	1	11
8	CudfProject	0	copy_bitmask	0	10	1.0	1	0	11
9	CudfProject	0	(unattributed)	0	10	1.0	12	1	13
9	CudfProject	0	copy_bitmask	0	10	1.0	1	0	13
10	CudfProject	0	(unattributed)	0	10	1.0	11	1	11
10	CudfProject	0	copy_bitmask	0	10	1.0	1	0	11
